Nr.,VBB-Name,GKZ,lon,lat,GK4-X,GK4-Y
9093203,Hermsdorfer Damm/Berliner Str.,Berlin,13.312912,52.622429,4589013,5832971
9089453,Hermsdorfer Damm/Bundesfernstr.,Berlin,13.283067,52.601223,4587034,5830575
9093104,Hermsdorfer Damm/Martin-Luther-Str.,Berlin,13.299437,52.614714,4588116,5832096
9096102,Hermsdorfer Str./Alt-Wittenau,Berlin,13.322179,52.593288,4589700,5829740
9079203,Herrfurthstr.,Berlin,13.426371,52.477473,4597015,5816988
9131516,Herthaplatz,Berlin,13.408836,52.585009,4595590,5828930
9048104,Herthastr.,Berlin,13.284405,52.486470,4587352,5817808
9048111,Herthastr./Bismarckallee,Berlin,13.278624,52.488150,4586956,5817988
9004181,Hertzallee,Berlin,13.332615,52.509231,4590580,5820400
9076101,Hertzbergplatz,Berlin,13.448568,52.477500,4598523,5817021
9132012,Hertzstr./Fontanestr.,Berlin,13.359643,52.585504,4592255,5828921
9132509,Hertzstr./Hauptstr.,Berlin,13.366160,52.584862,4592698,5828858
9194520,Herweghstr.,Berlin,13.505584,52.444127,4602474,5813387
9160518,Herzbergstr./Industriegebiet,Berlin,13.489837,52.526579,4601214,5822539
9160012,Herzbergstr./Siegfriedstr.,Berlin,13.499775,52.526346,4601889,5822527
9160010,Herzbergstr./Weißenseer Weg,Berlin,13.479323,52.527691,4600498,5822648
9083267,Herzblattweg,Berlin,13.503062,52.421025,4602356,5810813
9026151,Hessenallee,Berlin,13.263974,52.514299,4585910,5820880
9132504,Hielscherstr.,Berlin,13.369288,52.589607,4592900,5829390
9074261,Hilbertstr.,Berlin,13.396364,52.384641,4595176,5806619
9073242,Hildburghauser Str./Friedenfelser Str.,Berlin,13.360421,52.412750,4592670,5809700
9220026,Hildegardstr.,Stahnsdorf,13.207972,52.378530,4582361,5805708
9018105,Hinckeldeybrücke,Berlin,13.299222,52.546621,4588238,5824519
9066405,Hindenburgdamm/Klingsorstr.,Berlin,13.315758,52.443418,4589569,5813056
9170523,Hinter der Mühle,Berlin,13.561830,52.544722,4606056,5824661
9230088,Hiroshima-Platz,Potsdam,13.124863,52.395195,4576673,5807471
9005155,Hiroshimasteg,Berlin,13.356980,52.506429,4592240,5820119
9182003,Hirschgarten,Berlin,13.600709,52.451649,4608923,5814363
9180016,Hirtestr.,Berlin,13.584393,52.460191,4607793,5815289
9180513,Hirtestr./Janitzkystr.,Berlin,13.584119,52.461588,4607771,5815444
9176520,Hirtschulzstr.,Berlin,13.608675,52.516781,4609303,5821622
9051311,Hittorfstr.,Berlin,13.287662,52.450827,4587644,5813846
9135017,Hobrechtsfelder Chaussee,Berlin,13.476213,52.640448,4600030,5835190
9066205,Hochbaumstr.,Berlin,13.288904,52.429900,4587770,5811519
9064153,Hochbergweg,Berlin,13.319903,52.426601,4589885,5811190
9027308,Hochhausweg,Berlin,13.152818,52.550439,4578300,5824775
9041281,Hochmeisterplatz,Berlin,13.301385,52.494651,4588489,5818739
9068105,Hoeppnerstr.,Berlin,13.373750,52.472722,4593450,5816390
